Work_Order_ID,Program_Name,Platform,Production_Cell,Operation_Step,Component_Type,Supplier,Machine_ID,Machine_Status,Quality_Flag,Defect_Type,Inventory_Level,Reorder_Point,Supplier_Risk,Supplier_Lead_Time_Days,Single_Source_Supplier,Critical_Material_Flag,Cycle_Time_Hours,Queue_Time_Hours,Labor_Hours_Required,Workforce_Availability,Inspection_Backlog_Hours,First_Pass_Yield,Mission_Priority,Delivery_Deadline_Days,Recovery_Cost,Alternate_Route_Available,Alternate_Supplier_Available,Overtime_Available,Estimated_Delay_Hours,Contract_Delivery_Risk,Operational_Risk,Readiness_Impact,Risk_Level,Recovery_Confidence,Estimated_Recovery_Hours,Primary_Disruption,Recovery_Priority,Escalation_Required,Bottleneck_Severity
WO-10000,Tactical UAV Production,Radar System,Machining,Quality Inspection,Guidance Module,Orion Plating,M-03,Degraded,Pass,None,151,33,0.61,59,No,No,2.6,34.5,11.4,0.94,1.7,0.91,3,31,38076,No,No,Yes,27,Controlled,37.1,22.3,Moderate,0.49,21,Nominal,Routine,False,30.3
WO-10001,Mission Systems Upgrade,Radar System,Surface Treatment,Subsystem Integration,Power Unit,Summit Electronics,M-11,Operational,Pass,None,72,66,0.55,34,No,Yes,19.5,10.8,15.0,0.93,16.3,0.8,1,28,68910,Yes,Yes,Yes,29,Controlled,49.7,9.9,Moderate,0.85,18,Yield Loss,Routine,False,34.4
WO-10002,Radar Modernization,Avionics Kit,Inspection,Electronics Install,Thermal Shield,Summit Electronics,M-08,Degraded,Pass,None,122,39,0.26,54,No,Yes,3.2,16.2,21.8,0.95,25.0,0.9,2,12,67274,Yes,Yes,No,31,Controlled,38.8,15.5,Moderate,0.71,21,Nominal,Routine,False,31.8
WO-10003,Avionics Retrofit,Radar System,Systems Integration,Acceptance Test,Radar Housing,Orion Plating,M-18,Operational,Pass,None,5,71,0.39,6,No,Yes,6.7,22.0,19.4,0.71,7.0,0.94,1,16,72957,Yes,Yes,Yes,44,Controlled,64.2,12.8,Moderate,0.85,27,Material Shortage,Routine,False,47.4
WO-10004,Radar Modernization,UAV,Systems Integration,Material Prep,Actuator Assembly,Summit Electronics,M-03,Operational,Pass,None,176,59,0.6,27,No,No,21.2,5.6,4.0,0.92,8.4,0.87,1,8,37922,No,No,Yes,16,Controlled,35.2,7.0,Moderate,0.49,12,Nominal,Routine,False,22.3
WO-10005,Tactical UAV Production,Ground Vehicle,Final Assembly,Subsystem Integration,Guidance Module,Northline Components,M-20,Operational,Inspection Hold,Electrical,24,62,0.73,28,No,No,22.9,17.4,17.6,0.61,4.3,0.94,2,36,36068,Yes,No,No,69,Controlled,78.6,31.4,High,0.53,53,Quality / Inspection,Moderate,False,67.2
WO-10006,Radar Modernization,Radar System,Machining,Electronics Install,Radar Housing,Vector Metals,M-22,Degraded,Pass,None,83,73,0.35,52,Yes,Yes,21.4,29.6,3.7,0.74,6.3,0.86,1,37,25607,Yes,No,Yes,52,Controlled,63.4,12.7,Moderate,0.57,39,Supply Chain Constraint,Routine,False,50.7
WO-10007,Radar Modernization,Ground Vehicle,Surface Treatment,CNC Machining,Sensor Mount,AeroForge,M-13,Operational,Pass,None,8,34,0.13,14,No,No,12.2,12.1,11.8,0.97,17.6,0.79,3,10,66960,Yes,No,Yes,28,Controlled,45.4,27.2,Moderate,0.67,20,Material Shortage,Moderate,False,34.8
WO-10008,Radar Modernization,UAV,Avionics Assembly,Surface Finish,Navigation Board,Northline Components,M-21,Degraded,Pass,None,23,30,0.9,7,Yes,No,25.5,35.3,17.9,0.9,11.4,0.92,4,8,62388,Yes,No,Yes,63,Controlled,85.0,68.0,High,0.57,47,Supply Chain Constraint,High,False,72.6
WO-10009,Avionics Retrofit,Sensor Package,Machining,Quality Inspection,Guidance Module,Delta Circuits,M-02,Operational,Pass,None,30,33,0.23,27,No,No,10.5,14.3,15.6,0.8,9.5,0.97,5,23,58346,Yes,No,Yes,32,Controlled,40.7,40.7,Moderate,0.67,22,Material Shortage,Moderate,False,36.8
WO-10010,Avionics Retrofit,Ground Vehicle,Inspection,Final Assembly,Actuator Assembly,AeroForge,M-07,Operational,Inspection Hold,Surface Finish,11,35,0.33,32,Yes,No,4.5,26.4,3.2,0.96,12.7,0.91,5,10,60564,Yes,No,No,70,Controlled,74.1,74.1,High,0.43,56,Quality / Inspection,Critical,True,72.3
WO-10011,Radar Modernization,Sensor Package,Final Assembly,Subsystem Integration,Radar Housing,AeroForge,M-12,Operational,Inspection Hold,Dimensional,118,31,0.51,36,No,No,21.9,29.0,11.6,0.78,14.2,0.84,4,7,54788,No,Yes,No,50,Controlled,48.3,38.6,Moderate,0.53,38,Quality / Inspection,Moderate,False,47.6
WO-10012,Ground Sensor Platform,Radar System,Surface Treatment,Quality Inspection,Navigation Board,Orion Plating,M-18,Operational,Rework,Dimensional,152,43,0.26,22,Yes,No,13.4,14.4,16.5,0.89,19.0,0.91,1,28,37254,Yes,No,No,35,Controlled,44.1,8.8,Moderate,0.43,28,Supply Chain Constraint,Routine,False,34.7
WO-10013,Tactical UAV Production,Radar System,Surface Treatment,Final Assembly,Navigation Board,Northline Components,M-03,Operational,Scrap Risk,Electrical,27,26,0.11,42,No,No,9.7,17.0,10.6,0.83,18.7,0.91,3,7,30842,No,Yes,No,65,Elevated,46.0,31.7,Moderate,0.41,53,Quality / Inspection,Moderate,True,52.4
WO-10014,Mission Systems Upgrade,Sensor Package,Surface Treatment,Acceptance Test,Radar Housing,Northline Components,M-04,Operational,Pass,None,125,59,0.11,54,Yes,Yes,22.2,7.9,20.2,0.91,4.6,0.78,1,5,61948,No,Yes,No,25,Controlled,45.6,9.1,Moderate,0.43,20,Supply Chain Constraint,Routine,False,30.9
